"Name","Location","Function Signature","Function Size"
"FUN_004d6fd0","004d6fd0","undefined FUN_004d6fd0(int param_1)","133"
"FUN_004d70f0","004d70f0","undefined FUN_004d70f0(undefined4 param_1\, uint param_2\, int param_3\, float param_4)","172"
"FUN_004d71a0","004d71a0","undefined FUN_004d71a0(undefined4 param_1\, undefined4 param_2\, int param_3)","833"
"FUN_004d7620","004d7620","undefined FUN_004d7620(int param_1\, undefined4 param_2\, undefined4 * param_3)","126"
"FUN_004d7800","004d7800","undefined FUN_004d7800(char * param_1\, uint * param_2)","300"
"FUN_004d7930","004d7930","undefined FUN_004d7930(float * param_1\, float * param_2\, float param_3\, int param_4\, float param_5\, float param_6\, float param_7\, float param_8)","1672"
"FUN_004d7fc0","004d7fc0","undefined FUN_004d7fc0(void)","442"
"FUN_004d8280","004d8280","undefined FUN_004d8280(undefined4 * param_1)","95"
"FUN_004d8510","004d8510","undefined FUN_004d8510(void)","278"
"FUN_004d8630","004d8630","undefined FUN_004d8630(void)","820"
"FUN_004d8990","004d8990","undefined FUN_004d8990(void)","239"
"FUN_004d8a90","004d8a90","undefined FUN_004d8a90(void)","90"
"FUN_004d8af0","004d8af0","int * FUN_004d8af0(void)","540"
"FUN_004d8d70","004d8d70","undefined FUN_004d8d70(void)","208"
"FUN_004d8e40","004d8e40","undefined FUN_004d8e40(int param_1)","118"
"FUN_004d8ec0","004d8ec0","undefined FUN_004d8ec0(void)","942"
"FUN_004d9280","004d9280","undefined FUN_004d9280(void)","261"
"FUN_004d9390","004d9390","undefined FUN_004d9390(void)","282"
"FUN_004d94b0","004d94b0","int FUN_004d94b0(void)","52"
"FUN_004d94f0","004d94f0","undefined FUN_004d94f0(float * param_1\, undefined4 param_2\, int param_3)","539"
"FUN_004d9760","004d9760","undefined4 FUN_004d9760(undefined4 param_1\, undefined4 param_2\, undefined4 * param_3\, int param_4)","1897"
"FUN_004d9ed0","004d9ed0","undefined FUN_004d9ed0(void)","181"
"FUN_004d9f90","004d9f90","undefined FUN_004d9f90(void)","8"
"FUN_004d9fa0","004d9fa0","undefined FUN_004d9fa0(int param_1\, undefined4 * param_2\, int param_3\, float param_4)","1038"
"FUN_004da6c0","004da6c0","undefined FUN_004da6c0(undefined4 param_1\, undefined4 param_2\, float param_3)","500"
"FUN_004da8c0","004da8c0","undefined FUN_004da8c0(undefined4 param_1\, undefined4 param_2\, int param_3)","399"
"FUN_004daa70","004daa70","undefined4 FUN_004daa70(int param_1)","55"
"FUN_004daab0","004daab0","undefined FUN_004daab0(undefined4 param_1\, undefined4 param_2\, int param_3)","49"
"FUN_004db280","004db280","undefined4 FUN_004db280(undefined4 param_1\, int param_2\, int param_3\, undefined4 param_4\, undefined4 param_5\, int param_6)","1165"
"FUN_004db740","004db740","undefined FUN_004db740(int param_1\, int param_2)","1054"
"FUN_004dbb60","004dbb60","float10 FUN_004dbb60(int param_1)","28"
"FUN_004dbb80","004dbb80","float10 FUN_004dbb80(int param_1)","91"
"FUN_004dbbe0","004dbbe0","undefined FUN_004dbbe0(int param_1\, byte * param_2)","241"
"FUN_004dbf80","004dbf80","undefined FUN_004dbf80(undefined4 param_1\, undefined4 param_2)","461"
"FUN_004dc150","004dc150","undefined4 FUN_004dc150(undefined4 param_1\, int param_2)","437"
"FUN_004dc310","004dc310","undefined FUN_004dc310(int param_1)","542"
"FUN_004dc530","004dc530","undefined FUN_004dc530(void)","261"
"FUN_004dcf70","004dcf70","undefined FUN_004dcf70(undefined4 param_1\, undefined4 param_2)","256"
"FUN_004dd110","004dd110","undefined FUN_004dd110(void)","78"
"FUN_004dd2f0","004dd2f0","undefined FUN_004dd2f0(int param_1)","139"
"FUN_004dd3b0","004dd3b0","undefined FUN_004dd3b0(int param_1)","208"
"FUN_004dd480","004dd480","undefined FUN_004dd480(void)","94"
"FUN_004dd810","004dd810","undefined4 FUN_004dd810(undefined4 param_1\, undefined4 param_2\, int param_3\, int param_4\, int param_5\, int param_6)","1135"
"FUN_004ddc80","004ddc80","undefined FUN_004ddc80(void)","1"
"FUN_004ddcb0","004ddcb0","undefined4 FUN_004ddcb0(int param_1)","64"
"FUN_004ddcf0","004ddcf0","undefined FUN_004ddcf0(void)","105"
"FUN_004ddd60","004ddd60","undefined FUN_004ddd60(void)","134"
"FUN_004dddf0","004dddf0","undefined FUN_004dddf0(void)","56"
"FUN_004dde30","004dde30","undefined FUN_004dde30(int param_1)","687"
"FUN_004de100","004de100","undefined4 FUN_004de100(int param_1\, undefined4 param_2\, void * param_3\, float param_4)","406"
"FUN_004de2a0","004de2a0","undefined FUN_004de2a0(void)","185"
"FUN_004de360","004de360","undefined FUN_004de360(int param_1)","963"
"FUN_004de740","004de740","undefined FUN_004de740(int param_1)","656"
"FUN_004de9d0","004de9d0","undefined FUN_004de9d0(int param_1)","245"
"FUN_004dead0","004dead0","undefined FUN_004dead0(int param_1)","1087"
"FUN_004def30","004def30","undefined4 * FUN_004def30(void)","357"
"FUN_004df0c0","004df0c0","undefined FUN_004df0c0(int param_1)","90"
"FUN_004df9b0","004df9b0","undefined FUN_004df9b0(void)","666"
"FUN_004dfc90","004dfc90","undefined FUN_004dfc90(int param_1)","105"
"FUN_004dfd00","004dfd00","undefined FUN_004dfd00(int param_1)","229"
"FUN_004dfff0","004dfff0","undefined FUN_004dfff0(int param_1)","391"
"FUN_004e01b0","004e01b0","undefined FUN_004e01b0(int param_1)","1326"
"FUN_004e06e0","004e06e0","undefined FUN_004e06e0(int param_1)","361"
"FUN_004e0850","004e0850","int FUN_004e0850(undefined4 param_1\, int param_2)","83"
"FUN_004e08b0","004e08b0","undefined FUN_004e08b0(int param_1)","652"
"FUN_004e1260","004e1260","undefined FUN_004e1260(int param_1)","507"
"FUN_004e1460","004e1460","undefined4 FUN_004e1460(int param_1)","229"
"FUN_004e1550","004e1550","undefined FUN_004e1550(void)","107"
"FUN_004e15c0","004e15c0","undefined FUN_004e15c0(int param_1)","2398"
"FUN_004e2300","004e2300","undefined4 FUN_004e2300(void)","101"
"FUN_004e23a0","004e23a0","bool FUN_004e23a0(void)","13"
"FUN_004e23e0","004e23e0","undefined FUN_004e23e0(int param_1)","231"
"FUN_004e25f0","004e25f0","undefined FUN_004e25f0(float param_1)","333"
"FUN_004e2b20","004e2b20","undefined FUN_004e2b20(int param_1)","311"
"FUN_004e2cf0","004e2cf0","undefined FUN_004e2cf0(int param_1)","81"
"FUN_004e2f80","004e2f80","undefined FUN_004e2f80(int param_1)","177"
"FUN_004e3440","004e3440","undefined FUN_004e3440(void)","251"
"FUN_004e36d0","004e36d0","undefined FUN_004e36d0(undefined4 * param_1)","313"
"FUN_004e3810","004e3810","undefined FUN_004e3810(int param_1)","121"
"FUN_004e3890","004e3890","undefined FUN_004e3890(int param_1)","250"
"FUN_004e3a00","004e3a00","undefined4 FUN_004e3a00(int param_1\, int param_2\, float param_3\, int param_4\, int param_5\, int param_6)","546"
"FUN_004e3c30","004e3c30","undefined FUN_004e3c30(void)","82"
"FUN_004e3c90","004e3c90","undefined FUN_004e3c90(void)","281"
"FUN_004e4220","004e4220","undefined FUN_004e4220(undefined4 param_1\, byte * param_2)","64"
"FUN_004e4350","004e4350","undefined FUN_004e4350(int param_1)","276"
"FUN_004e4a40","004e4a40","undefined FUN_004e4a40(int param_1)","56"
"FUN_004e4a80","004e4a80","undefined4 FUN_004e4a80(int param_1)","48"
"FUN_004e4bb0","004e4bb0","undefined FUN_004e4bb0(int param_1)","67"
"FUN_004e4c10","004e4c10","undefined FUN_004e4c10(void)","465"
"FUN_004e4f80","004e4f80","undefined FUN_004e4f80(int param_1)","219"
"FUN_004e5060","004e5060","undefined FUN_004e5060(int param_1)","203"
"FUN_004e5240","004e5240","undefined FUN_004e5240(undefined4 param_1\, undefined4 param_2\, int param_3)","307"
"FUN_004e5380","004e5380","undefined FUN_004e5380(void)","89"
"FUN_004e54d0","004e54d0","undefined FUN_004e54d0(int param_1)","73"
"FUN_004e55c0","004e55c0","undefined FUN_004e55c0(void)","98"
"FUN_004e5660","004e5660","undefined4 FUN_004e5660(void)","264"
"FUN_004e5770","004e5770","undefined FUN_004e5770(int param_1)","946"
"FUN_004e5ba0","004e5ba0","undefined FUN_004e5ba0(int param_1)","751"
"FUN_004e5ec0","004e5ec0","undefined FUN_004e5ec0(float * param_1\, undefined4 param_2)","36"
"FUN_004e5fe0","004e5fe0","undefined FUN_004e5fe0(void)","21"
"FUN_004e6000","004e6000","undefined FUN_004e6000(int param_1\, uint param_2)","600"
"FUN_004e6260","004e6260","undefined FUN_004e6260(void)","250"
"FUN_004e6410","004e6410","undefined FUN_004e6410(int param_1)","81"
"FUN_004e6590","004e6590","undefined FUN_004e6590(void)","100"
"FUN_004e66c0","004e66c0","undefined FUN_004e66c0(int param_1)","535"
"FUN_004e68f0","004e68f0","undefined FUN_004e68f0(int param_1)","630"
"FUN_004e6b70","004e6b70","undefined FUN_004e6b70(void)","450"
"FUN_004e6d40","004e6d40","undefined FUN_004e6d40(int param_1)","505"
"FUN_004e6f40","004e6f40","undefined FUN_004e6f40(void)","12"
"FUN_004e7090","004e7090","undefined FUN_004e7090(int param_1)","409"
"FUN_004e73d0","004e73d0","undefined FUN_004e73d0(void)","595"
"FUN_004e7630","004e7630","undefined FUN_004e7630(int param_1)","425"
"FUN_004e82b0","004e82b0","undefined FUN_004e82b0(int param_1)","82"
"FUN_004e8380","004e8380","undefined4 FUN_004e8380(int param_1\, int param_2\, float * param_3)","129"
"FUN_004e8420","004e8420","undefined FUN_004e8420(int param_1)","148"
"FUN_004e8640","004e8640","undefined FUN_004e8640(void)","13"
"FUN_004e8650","004e8650","undefined FUN_004e8650(void)","624"
"FUN_004e8d50","004e8d50","undefined FUN_004e8d50(void)","598"
"FUN_004e9000","004e9000","undefined4 FUN_004e9000(float param_1\, byte * param_2)","220"
"FUN_004e90e0","004e90e0","undefined FUN_004e90e0(void)","979"
"FUN_004e94c0","004e94c0","undefined4 FUN_004e94c0(int param_1)","816"
"FUN_004e9980","004e9980","undefined FUN_004e9980(void)","384"
"FUN_004ea050","004ea050","int FUN_004ea050(float param_1)","191"
"FUN_004ea8e0","004ea8e0","float10 FUN_004ea8e0(int param_1)","90"
"FUN_004eab80","004eab80","undefined FUN_004eab80(int param_1)","765"
"FUN_004eae80","004eae80","undefined FUN_004eae80(void)","154"
"FUN_004ebbe0","004ebbe0","undefined FUN_004ebbe0(void)","112"
"FUN_004ebc50","004ebc50","undefined FUN_004ebc50(int param_1)","48"
"FUN_004ebd10","004ebd10","undefined FUN_004ebd10(int param_1)","142"
"FUN_004ec330","004ec330","undefined FUN_004ec330(int param_1)","81"
"FUN_004ec420","004ec420","undefined FUN_004ec420(void)","901"
"FUN_004ec7b0","004ec7b0","undefined4 FUN_004ec7b0(int param_1)","39"
"FUN_004ec7e0","004ec7e0","undefined FUN_004ec7e0(void)","867"
"FUN_004ecb50","004ecb50","undefined FUN_004ecb50(int param_1)","702"
"FUN_004ece10","004ece10","int FUN_004ece10(undefined4 param_1\, int param_2)","83"
"FUN_004ece70","004ece70","undefined FUN_004ece70(int param_1\, uint param_2\, int param_3)","2086"
"FUN_004ed6e0","004ed6e0","undefined FUN_004ed6e0(int param_1)","549"
"FUN_004edfe0","004edfe0","undefined FUN_004edfe0(int param_1)","185"
"FUN_004ee4c0","004ee4c0","undefined FUN_004ee4c0(int param_1)","1154"
"FUN_004eeb10","004eeb10","undefined FUN_004eeb10(float * param_1\, float * param_2\, int param_3)","641"
"FUN_004eeda0","004eeda0","undefined FUN_004eeda0(void)","1"
"FUN_004eedc0","004eedc0","undefined FUN_004eedc0(void)","1"
"_NuMemAllocFn","004eef40","int * _NuMemAllocFn(uint param_1\, char * param_2\, int param_3)","471"
"_NuMemFreeFn","004ef280","undefined _NuMemFreeFn(int param_1)","450"
"_NuMemDumpFn","004ef5c0","undefined _NuMemDumpFn(undefined4 param_1)","98"
"_NuMemCpy","004ef660","undefined _NuMemCpy(undefined1 * param_1\, undefined1 * param_2\, int param_3)","84"
"FUN_004ef6e0","004ef6e0","undefined FUN_004ef6e0(void * param_1\, byte param_2\, int param_3)","25"
"FUN_004ef790","004ef790","undefined FUN_004ef790(void)","1"
"FUN_004ef7b0","004ef7b0","undefined FUN_004ef7b0(void)","1"
"FUN_004ef870","004ef870","undefined FUN_004ef870(void)","27"
"FUN_004ef8a0","004ef8a0","undefined FUN_004ef8a0(undefined4 param_1\, int * param_2\, uint * param_3\, uint * param_4\, int param_5)","177"
"FUN_004efa40","004efa40","uint * FUN_004efa40(void * this\, int * param_1\, uint * param_2\, int param_3)","179"
"FUN_004efb00","004efb00","undefined FUN_004efb00(uint * param_1\, uint param_2)","227"
"FUN_004efdf0","004efdf0","undefined FUN_004efdf0(int param_1\, char * param_2)","112"
"FUN_004efec0","004efec0","undefined FUN_004efec0(int param_1\, char * param_2)","106"
"FUN_004eff30","004eff30","undefined4 FUN_004eff30(void)","6"
"FUN_004effb0","004effb0","undefined FUN_004effb0(undefined4 * param_1)","124"
"FUN_004f01f0","004f01f0","undefined4 FUN_004f01f0(int param_1)","59"
"FUN_004f0230","004f0230","undefined FUN_004f0230(void)","156"
"FUN_004f02d0","004f02d0","int FUN_004f02d0(int param_1\, int param_2\, int param_3)","113"
"FUN_004f0360","004f0360","undefined4 FUN_004f0360(int param_1)","19"
"FUN_004f0380","004f0380","size_t FUN_004f0380(int param_1\, void * param_2\, size_t param_3)","77"
"FUN_004f03d0","004f03d0","undefined FUN_004f03d0(int param_1\, void * param_2\, size_t param_3)","66"
"FUN_004f04b0","004f04b0","undefined FUN_004f04b0(int param_1\, undefined4 param_2)","126"
"FUN_004f0530","004f0530","undefined FUN_004f0530(int param_1\, undefined4 param_2)","126"
"FUN_004f0750","004f0750","undefined FUN_004f0750(int param_1\, char * param_2)","93"
"FUN_004f0a80","004f0a80","undefined8 FUN_004f0a80(int * param_1\, uint param_2)","38"
"FUN_004f0ae0","004f0ae0","undefined8 FUN_004f0ae0(int param_1\, uint param_2\, int param_3\, int param_4)","130"
"FUN_004f0bd0","004f0bd0","int FUN_004f0bd0(void)","107"
"FUN_004f0c40","004f0c40","int FUN_004f0c40(int param_1\, undefined4 param_2)","98"
"FUN_004f0cb0","004f0cb0","int FUN_004f0cb0(int param_1)","65"
"_NuDatSet","004f0d40","undefined4 _NuDatSet(undefined4 param_1)","16"
"FUN_004f0d50","004f0d50","undefined4 FUN_004f0d50(void)","6"
"FUN_004f0de0","004f0de0","int FUN_004f0de0(int param_1\, byte * param_2)","33"
"FUN_004f0e10","004f0e10","undefined FUN_004f0e10(undefined4 param_1\, int param_2\, int param_3)","54"
"FUN_004f0e60","004f0e60","uint FUN_004f0e60(int * param_1)","159"
"FUN_004f0f30","004f0f30","undefined4 FUN_004f0f30(int * param_1\, int param_2\, int * param_3\, int * param_4)","114"
"FUN_004f0fb0","004f0fb0","undefined4 FUN_004f0fb0(int * param_1\, int param_2\, uint param_3)","97"
"FUN_004f10e0","004f10e0","undefined4 FUN_004f10e0(int param_1\, undefined4 param_2)","63"
"FUN_004f1120","004f1120","undefined4 FUN_004f1120(int param_1\, undefined4 param_2)","63"
"FUN_004f1160","004f1160","undefined4 FUN_004f1160(int param_1\, undefined4 param_2\, undefined4 param_3)","63"
"FUN_004f11e0","004f11e0","undefined FUN_004f11e0(int param_1)","24"
"FUN_004f1200","004f1200","undefined4 FUN_004f1200(undefined4 param_1)","16"
"FUN_004f1240","004f1240","int * FUN_004f1240(void)","134"
"FUN_004f12e0","004f12e0","undefined FUN_004f12e0(undefined4 * param_1)","11"
"FUN_004f12f0","004f12f0","int FUN_004f12f0(undefined4 * param_1)","26"
"FUN_004f1310","004f1310","undefined FUN_004f1310(int * param_1\, undefined4 * param_2)","40"
"FUN_004f1340","004f1340","undefined FUN_004f1340(int * param_1\, int * param_2)","40"
"FUN_004f1410","004f1410","undefined FUN_004f1410(int * param_1\, int * param_2)","47"
"FUN_004f1440","004f1440","undefined4 FUN_004f1440(undefined4 * param_1)","7"
"FUN_004f1450","004f1450","undefined4 FUN_004f1450(int param_1)","8"
"FUN_004f1460","004f1460","undefined4 FUN_004f1460(undefined4 * param_1\, undefined4 * param_2)","15"
"FUN_004f1470","004f1470","undefined4 FUN_004f1470(int param_1\, int param_2)","16"
"FUN_004f1730","004f1730","undefined4 FUN_004f1730(float * param_1\, float * param_2)","67"
"FUN_004f1780","004f1780","undefined4 FUN_004f1780(void * param_1)","178"
"FUN_004f1840","004f1840","undefined FUN_004f1840(void * this\, int param_1)","39"
"FUN_004f1870","004f1870","int FUN_004f1870(void * this\, undefined2 param_1)","66"
"FUN_004f18c0","004f18c0","undefined4 FUN_004f18c0(void * param_1\, int param_2\, float * param_3\, float * param_4\, void * param_5\, int param_6)","965"
"FUN_004f1c90","004f1c90","undefined FUN_004f1c90(void * param_1\, void * param_2\, float param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","98"
"_NuStrCat","004f1e80","undefined _NuStrCat(char * param_1\, char * param_2)","51"
"FUN_004f1ec0","004f1ec0","int FUN_004f1ec0(char * param_1\, char * param_2\, int param_3)","73"
"_NuStrCpy","004f1f10","int _NuStrCpy(char * param_1\, char * param_2)","42"
"FUN_004f1f40","004f1f40","int FUN_004f1f40(char * param_1\, char * param_2\, int param_3)","75"
"FUN_004f1f90","004f1f90","char * FUN_004f1f90(char * param_1\, char param_2)","33"
"FUN_004f1fc0","004f1fc0","char * FUN_004f1fc0(char * param_1\, char param_2)","43"
"FUN_004f1ff0","004f1ff0","int FUN_004f1ff0(char * param_1)","28"
"FUN_004f2010","004f2010","int FUN_004f2010(char * param_1)","57"
"FUN_004f2050","004f2050","undefined FUN_004f2050(char * param_1\, int param_2)","78"
"FUN_004f20a0","004f20a0","char * FUN_004f20a0(char * param_1\, char * param_2)","77"
"FUN_004f20f0","004f20f0","undefined4 FUN_004f20f0(char * param_1\, char * param_2)","57"
"FUN_004f2130","004f2130","undefined4 FUN_004f2130(char * param_1\, char * param_2\, int param_3)","103"
"FUN_004f2280","004f2280","int FUN_004f2280(short * param_1\, short * param_2)","48"
"FUN_004f2370","004f2370","int FUN_004f2370(short * param_1)","26"
"FUN_004f24e0","004f24e0","undefined4 FUN_004f24e0(ushort * param_1\, ushort * param_2)","133"
"FUN_004f26e0","004f26e0","undefined FUN_004f26e0(short * param_1\, short * param_2)","76"
"_vsprintf","004f2730","thunk int _vsprintf(char * _Dest\, char * _Format\, va_list _Args)","5"
"_NuSPrintf","004f2740","undefined _NuSPrintf(char * param_1\, char * param_2\, ...)","43"
"FUN_004f2770","004f2770","undefined4 FUN_004f2770(undefined1 param_1)","36"
"FUN_004f2860","004f2860","undefined FUN_004f2860(int param_1\, char * param_2\, int param_3)","121"
"FUN_004f28e0","004f28e0","float10 FUN_004f28e0(char * param_1)","191"
"FUN_004f29a0","004f29a0","int FUN_004f29a0(char * param_1)","70"
"FUN_004f2b20","004f2b20","undefined FUN_004f2b20(int param_1\, short * param_2\, int param_3)","122"
"FUN_004f2ba0","004f2ba0","float10 FUN_004f2ba0(ushort * param_1)","204"
"FUN_004f2d80","004f2d80","byte FUN_004f2d80(byte param_1)","21"
"FUN_004f2dc0","004f2dc0","undefined FUN_004f2dc0(undefined1 * param_1\, ushort * param_2)","147"
"FUN_004f2e60","004f2e60","undefined FUN_004f2e60(byte * param_1\, ushort * param_2)","124"
"FUN_004f2ee0","004f2ee0","undefined FUN_004f2ee0(undefined2 * param_1\, byte * param_2)","53"
"FUN_004f2f20","004f2f20","undefined FUN_004f2f20(ushort * param_1\, byte * param_2)","170"
"FUN_004f2fd0","004f2fd0","byte * FUN_004f2fd0(ushort * param_1\, byte * param_2)","147"
"FUN_004f3070","004f3070","byte * FUN_004f3070(byte * param_1\, uint param_2)","90"
"FUN_004f30d0","004f30d0","undefined FUN_004f30d0(undefined4 param_1)","10"
"FUN_004f30f0","004f30f0","undefined FUN_004f30f0(uint param_1)","16"
"FUN_004f3460","004f3460","undefined4 FUN_004f3460(void)","84"
"FUN_004f34f0","004f34f0","short * FUN_004f34f0(short * param_1\, short * param_2\, int * param_3\, int param_4)","342"
"FUN_004f3650","004f3650","undefined FUN_004f3650(short * param_1\, short * param_2\, short * param_3)","212"
"FUN_004f3730","004f3730","undefined FUN_004f3730(byte * param_1\, byte * param_2\, byte * param_3)","130"
"FUN_004f37c0","004f37c0","undefined FUN_004f37c0(int param_1\, byte * param_2)","948"
"FUN_004f3bb0","004f3bb0","float10 FUN_004f3bb0(void)","7"
"FUN_004f3bd0","004f3bd0","undefined FUN_004f3bd0(int * param_1)","18"
"FUN_004f3bf0","004f3bf0","undefined FUN_004f3bf0(int * param_1\, uint * param_2\, uint * param_3)","58"
"FUN_004f3c30","004f3c30","float10 FUN_004f3c30(int * param_1)","102"
"FUN_004f3ca0","004f3ca0","float10 FUN_004f3ca0(int * param_1)","108"
"FUN_004f3d10","004f3d10","float10 FUN_004f3d10(int * param_1)","108"
"_NuAPIInit","004f3db0","undefined _NuAPIInit(void)","112"
"FUN_004f3e20","004f3e20","undefined FUN_004f3e20(void)","32"
"FUN_004f3f50","004f3f50","undefined FUN_004f3f50(undefined4 param_1\, char * param_2)","197"
"FUN_004f4040","004f4040","undefined FUN_004f4040(undefined4 param_1)","10"
"_NuCommandLine","004f4060","undefined _NuCommandLine(undefined4 * param_1\, undefined4 * param_2)","24"
"FUN_004f40a0","004f40a0","undefined FUN_004f40a0(void * this\, int * param_1)","112"
"FUN_004f4110","004f4110","undefined FUN_004f4110(void * param_1)","221"
"FUN_004f41f0","004f41f0","int * FUN_004f41f0(int param_1\, int param_2)","105"
"FUN_004f4280","004f4280","float10 FUN_004f4280(float param_1)","71"
"FUN_004f42d0","004f42d0","undefined FUN_004f42d0(int param_1\, int param_2)","109"
"FUN_004f4340","004f4340","undefined FUN_004f4340(int param_1\, undefined1 param_2)","21"
"FUN_004f4370","004f4370","undefined FUN_004f4370(int param_1)","1038"
"_NuPadSetMaxGamePads","004f4790","undefined _NuPadSetMaxGamePads(undefined4 param_1)","10"
"FUN_004f47f0","004f47f0","undefined FUN_004f47f0(int param_1\, int param_2)","231"
"FUN_004f48e0","004f48e0","undefined4 FUN_004f48e0(int param_1)","31"
"FUN_004f4920","004f4920","undefined FUN_004f4920(void)","122"
"FUN_004f49b0","004f49b0","int FUN_004f49b0(int * param_1)","528"
"FUN_004f4c10","004f4c10","undefined FUN_004f4c10(int param_1)","95"
"FUN_004f4c80","004f4c80","undefined FUN_004f4c80(void)","110"
"FUN_004f4cf0","004f4cf0","undefined FUN_004f4cf0(byte * param_1)","510"
"FUN_004f4f40","004f4f40","int * FUN_004f4f40(int * param_1)","50"
"FUN_004f4fc0","004f4fc0","undefined4 FUN_004f4fc0(void)","6"
"FUN_004f4fd0","004f4fd0","undefined4 FUN_004f4fd0(void)","6"
"FUN_004f5100","004f5100","undefined4 FUN_004f5100(void)","6"
"FUN_004f5110","004f5110","undefined FUN_004f5110(void)","1"
"FUN_004f5120","004f5120","undefined FUN_004f5120(undefined4 param_1)","16"
"FUN_004f5240","004f5240","undefined4 FUN_004f5240(void)","6"
"FUN_004f5250","004f5250","undefined FUN_004f5250(undefined4 param_1)","10"
"FUN_004f5260","004f5260","undefined4 FUN_004f5260(void)","6"
"_NuRegionSet","004f5270","undefined _NuRegionSet(undefined4 param_1)","10"
"FUN_004f52a0","004f52a0","undefined4 FUN_004f52a0(void)","34"
"FUN_004f5310","004f5310","int FUN_004f5310(char param_1)","36"
"FUN_004f5380","004f5380","undefined FUN_004f5380(void)","1098"
"FUN_004f5880","004f5880","uint FUN_004f5880(int * param_1)","151"
"FUN_004f5950","004f5950","uint FUN_004f5950(void)","287"
"FUN_004f5ab0","004f5ab0","uint FUN_004f5ab0(uint * param_1)","191"
"FUN_004f5be0","004f5be0","undefined FUN_004f5be0(undefined4 param_1)","47"
"FUN_004f5c10","004f5c10","undefined FUN_004f5c10(char * param_1)","67"
"FUN_004f5d00","004f5d00","undefined FUN_004f5d00(uint param_1)","117"
"FUN_004f5e30","004f5e30","undefined FUN_004f5e30(char * param_1)","119"
"FUN_004f5eb0","004f5eb0","undefined FUN_004f5eb0(char * param_1)","125"
"FUN_004f5f30","004f5f30","int FUN_004f5f30(void)","149"
"FUN_004f6000","004f6000","undefined FUN_004f6000(uint param_1\, int param_2\, uint param_3\, int param_4)","643"
"FUN_004f6740","004f6740","undefined FUN_004f6740(int * param_1\, void * param_2\, int param_3)","26"
"FUN_004f6760","004f6760","undefined FUN_004f6760(void)","177"
"FUN_004f6900","004f6900","undefined FUN_004f6900(char * param_1)","42"
"FUN_004f6930","004f6930","undefined FUN_004f6930(void * this\, char * param_1)","111"
"FUN_004f6b40","004f6b40","longlong FUN_004f6b40(int param_1)","116"
"FUN_004f6bc0","004f6bc0","undefined FUN_004f6bc0(int param_1)","86"
"FUN_004f6c20","004f6c20","longlong FUN_004f6c20(int param_1)","68"
"FUN_004f6c70","004f6c70","longlong FUN_004f6c70(int param_1\, uint param_2\, int param_3\, int param_4)","148"
"FUN_004f6d10","004f6d10","longlong FUN_004f6d10(int param_1)","139"
"FUN_004f6de0","004f6de0","longlong FUN_004f6de0(int param_1\, uint param_2\, int param_3\, int param_4)","190"
"FUN_004f6f60","004f6f60","longlong FUN_004f6f60(int param_1)","329"
"FUN_004f75f0","004f75f0","int FUN_004f75f0(int param_1\, uint param_2)","251"
"FUN_004f76f0","004f76f0","int FUN_004f76f0(int param_1\, char * param_2)","214"
"FUN_004f77d0","004f77d0","undefined4 FUN_004f77d0(void * this\, char * param_1)","81"
"FUN_004f7830","004f7830","undefined FUN_004f7830(char param_1\, char param_2)","113"
"_NuFileExtInit","004f78b0","undefined _NuFileExtInit(void)","954"
"FUN_004f7c70","004f7c70","char * FUN_004f7c70(char * param_1)","84"
"FUN_004f7cf0","004f7cf0","undefined4 FUN_004f7cf0(char * param_1\, char * param_2)","150"
"FUN_004f7df0","004f7df0","uint FUN_004f7df0(int param_1)","423"
"FUN_004f7fb0","004f7fb0","undefined FUN_004f7fb0(int param_1)","335"
"FUN_004f8100","004f8100","undefined FUN_004f8100(int param_1)","149"
"FUN_004f81a0","004f81a0","undefined FUN_004f81a0(int param_1\, float * param_2)","179"
"FUN_004f8260","004f8260","undefined FUN_004f8260(int param_1\, int * param_2)","164"
"FUN_004f8310","004f8310","undefined FUN_004f8310(int param_1)","182"
"FUN_004f8420","004f8420","undefined FUN_004f8420(undefined4 * param_1)","744"
"FUN_004f8790","004f8790","float10 FUN_004f8790(int * param_1)","115"
"FUN_004f8830","004f8830","float10 FUN_004f8830(void)","80"
"FUN_004f8880","004f8880","float10 FUN_004f8880(int * param_1)","82"
"FUN_004f88e0","004f88e0","undefined FUN_004f88e0(undefined4 param_1\, undefined4 param_2)","48"
"FUN_004f8a70","004f8a70","char * FUN_004f8a70(char * param_1\, byte * param_2)","120"
"FUN_004f8b10","004f8b10","undefined4 FUN_004f8b10(byte * param_1\, byte * param_2)","100"
"FUN_004f8b80","004f8b80","undefined4 FUN_004f8b80(byte * param_1\, byte * param_2\, int param_3)","150"
"FUN_004f8c20","004f8c20","undefined FUN_004f8c20(byte * param_1\, byte * param_2)","59"
"FUN_004f8c60","004f8c60","undefined FUN_004f8c60(char * param_1\, char * param_2)","65"
"FUN_004f8cb0","004f8cb0","uint FUN_004f8cb0(byte * param_1)","81"
"FUN_004f8e90","004f8e90","undefined * FUN_004f8e90(byte * param_1)","123"
"FUN_004f8f10","004f8f10","undefined FUN_004f8f10(char * param_1\, char * param_2\, char * param_3\, int param_4\, char * param_5)","419"
"FUN_004f90c0","004f90c0","undefined FUN_004f90c0(char * param_1\, char * param_2\, char * param_3\, int param_4)","45"
